phase,op_name,magnitude,probability,seed,fold_idx,val_acc,val_loss,top5_acc,train_acc,train_loss,epochs_run,best_epoch,early_stopped,runtime_sec,timestamp,error,stable_score
PhaseA,GaussianBlur,0.4808,0.3557,42,0,34.4,2.632892,65.1,52.4556,1.812367,40,38,False,49.38,2025-12-27T04:56:12,,33.9667
PhaseA,GaussianBlur,0.2823,0.4989,42,0,35.4,2.56288,65.7,57.1333,1.633235,40,40,False,54.23,2025-12-27T04:57:06,,34.8333
PhaseA,GaussianBlur,0.0175,0.2133,42,0,38.0,2.466818,69.1,61.6556,1.466462,40,40,False,47.43,2025-12-27T04:57:53,,37.5667
PhaseA,GaussianBlur,0.119,0.5198,42,0,37.1,2.492669,68.2,58.3444,1.597343,40,39,False,55.42,2025-12-27T04:58:49,,36.9333
PhaseA,GaussianBlur,0.3214,0.3172,42,0,34.4,2.631936,65.4,55.4111,1.70275,40,40,False,50.56,2025-12-27T04:59:40,,33.8
PhaseA,GaussianBlur,0.3792,0.6584,42,0,33.2,2.719226,63.2,53.3222,1.797133,40,39,False,58.43,2025-12-27T05:00:38,,32.2333
PhaseA,GaussianBlur,0.1765,0.4294,42,0,35.6,2.528053,67.0,58.5333,1.591702,40,40,False,52.39,2025-12-27T05:01:31,,35.0
PhaseA,GaussianBlur,0.1282,0.4576,42,0,38.2,2.46427,68.3,58.4667,1.560227,40,39,False,53.61,2025-12-27T05:02:24,,37.5
PhaseA,GaussianBlur,0.4255,0.255,42,0,36.0,2.573074,65.9,55.0667,1.699302,40,39,False,48.28,2025-12-27T05:03:13,,35.4333
PhaseA,GaussianBlur,0.374,0.5957,42,0,34.7,2.607254,64.9,54.7889,1.738909,40,39,False,57.29,2025-12-27T05:04:10,,33.9667
